TIME,TEMP_2m,TEMP_21m,PER90_2m,PER90_21m
2016-03-08,19.8041667938232,19.7636413574219,18.7900199890137,18.4264297485352
2016-03-09,19.8513050079346,19.7838935852051,18.8010559082031,18.4408054351807
2016-03-10,19.8233337402344,19.7275295257568,18.8282566070557,18.4594879150391
2016-03-11,19.6795845031738,19.676607131958,18.8387584686279,18.4733543395996
2016-03-12,20.0516662597656,19.4756107330322,18.8322067260742,18.4677352905273
2016-03-13,19.6595840454102,19.2689266204834,18.8246021270752,18.474048614502
2016-03-14,19.3379173278809,19.3046283721924,18.7939987182617,18.4590606689453
2016-03-15,19.359167098999,19.3670635223389,18.7597713470459,18.4387302398682
2016-03-16,19.4074993133545,19.3766975402832,18.7567291259766,18.4275245666504
2016-03-17,19.2075004577637,19.1916770935059,18.7237911224365,18.4047565460205
