TIME,TEMP 2m,TEMP 21m,PER90 2m,PER90 21m
2016-02-27 12:00:00,19.195415496826172,18.961288452148438,18.782629013061523,18.303640365600586
2016-02-28 12:00:00,19.406665802001953,19.19880485534668,18.735750198364258,18.296525955200195
2016-02-29 12:00:00,19.389583587646484,19.38150405883789,18.739988327026367,18.28390121459961
2016-03-01 12:00:00,19.270416259765625,19.286916732788086,18.744226455688477,18.271276473999023
2016-03-02 12:00:00,19.22083282470703,18.93302345275879,18.745840072631836,18.274991989135742
2016-03-03 12:00:00,19.28969955444336,19.16819953918457,18.74189567565918,18.312259674072266
2016-03-04 12:00:00,19.546667098999023,19.120607376098633,18.775911331176758,18.325578689575195
2016-03-05 12:00:00,19.547916412353516,19.197294235229492,18.783649444580078,18.356491088867188
2016-03-06 12:00:00,19.586666107177734,19.15073585510254,18.79190444946289,18.388866424560547
2016-03-07 12:00:00,19.599166870117188,19.615158081054688,18.785669326782227,18.408836364746094
2016-03-08 12:00:00,19.804166793823242,19.763641357421875,18.790019989013672,18.426429748535156
2016-03-09 12:00:00,19.85130500793457,19.783893585205078,18.801055908203125,18.440805435180664
2016-03-10 12:00:00,19.823333740234375,19.727529525756836,18.828256607055664,18.459487915039062
2016-03-11 12:00:00,19.679584503173828,19.676607131958008,18.83875846862793,18.47335433959961
2016-03-12 12:00:00,20.051666259765625,19.475610733032227,18.83220672607422,18.467735290527344
2016-03-13 12:00:00,19.659584045410156,19.2689266204834,18.824602127075195,18.474048614501953
2016-03-14 12:00:00,19.33791732788086,19.304628372192383,18.79399871826172,18.459060668945312
2016-03-15 12:00:00,19.359167098999023,19.367063522338867,18.7597713470459,18.438730239868164
2016-03-16 12:00:00,19.407499313354492,19.376697540283203,18.756729125976562,18.42752456665039
2016-03-17 12:00:00,19.207500457763672,19.19167709350586,18.723791122436523,18.404756546020508
2016-03-18 12:00:00,19.175416946411133,19.14278221130371,18.68927574157715,18.371564865112305
2016-03-19 12:00:00,19.366249084472656,19.321474075317383,18.654720306396484,18.344573974609375
2016-03-20 12:00:00,19.293750762939453,19.410213470458984,18.631778717041016,18.313234329223633
2016-03-21 12:00:00,19.78689956665039,19.667299270629883,18.578603744506836,18.282821655273438
2016-03-22 12:00:00,19.757083892822266,19.325040817260742,18.54054832458496,18.242374420166016
2016-03-23 12:00:00,19.577917098999023,19.558778762817383,18.511266708374023,18.19805145263672
2016-03-24 12:00:00,19.314167022705078,19.033405303955078,18.458864212036133,18.165407180786133
2016-03-25 12:00:00,19.12583351135254,19.00688362121582,18.438749313354492,18.143875122070312
2016-03-26 12:00:00,18.99041748046875,18.961626052856445,18.405912399291992,18.110824584960938
2016-03-27 12:00:00,18.950000762939453,18.865800857543945,18.361536026000977,18.090702056884766
2016-03-28 12:00:00,18.94791603088379,18.702980041503906,18.323959350585938,18.0767822265625
2016-03-29 12:00:00,19.457500457763672,19.02010726928711,18.29633903503418,18.05779457092285
2016-03-30 12:00:00,19.119583129882812,18.366247177124023,18.263158798217773,18.04205322265625
2016-03-31 12:00:00,19.042917251586914,18.559621810913086,18.237930297851562,18.026355743408203
2016-04-01 12:00:00,18.757917404174805,18.528762817382812,18.165395736694336,17.99605941772461
2016-04-02 12:00:00,18.482500076293945,18.49341583251953,18.098413467407227,17.927539825439453
2016-04-03 12:00:00,18.34583282470703,18.1938419342041,18.06853675842285,17.85580825805664
2016-04-04 12:00:00,18.850000381469727,18.725130081176758,18.01913070678711,17.818204879760742
