"","TIME","TEMP_2m","TEMP_21m","PER90_2m","PER90_21m"
"67",2016-03-22,19.7570838928223,19.3250408172607,18.5204906463623,18.0869464874268
"68",2016-03-23,19.577917098999,19.5587787628174,18.4677715301514,18.0544548034668
"69",2016-03-24,19.3141670227051,19.0334053039551,18.4356842041016,18.0366744995117
"70",2016-03-25,19.1258335113525,19.0068836212158,18.4056777954102,18.0231475830078
"71",2016-03-26,18.9904174804688,18.9616260528564,18.3782634735107,18.0116329193115
"72",2016-03-27,18.9500007629395,18.8658008575439,18.3435592651367,17.995906829834
"73",2016-03-28,18.9479160308838,18.7029800415039,18.3140144348145,17.9699840545654
"74",2016-03-29,19.4575004577637,19.0201072692871,18.2868537902832,17.9162883758545
"75",2016-03-30,19.1195831298828,18.366247177124,18.254753112793,17.8994197845459
"76",2016-03-31,19.0429172515869,18.5596218109131,18.212926864624,17.8537521362305
"77",2016-04-01,18.7579174041748,18.5287628173828,18.1703567504883,17.8070125579834
"78",2016-04-02,18.4825000762939,18.4934158325195,18.1143932342529,17.7727489471436
"79",2016-04-03,18.345832824707,18.1938419342041,18.0630187988281,17.713846206665
"80",2016-04-04,18.8500003814697,18.7251300811768,18.0294513702393,17.6493434906006
"81",2016-04-05,18.7783336639404,18.7397651672363,17.9761600494385,17.6046905517578
"82",2016-04-06,18.4333343505859,18.2970294952393,17.9225559234619,17.5662097930908
"83",2016-04-07,18.3341674804688,18.303092956543,17.885892868042,17.5245361328125
"84",2016-04-08,18.2891674041748,18.2723369598389,17.8666877746582,17.4824352264404
"85",2016-04-09,18.1987495422363,18.2101249694824,17.8164596557617,17.4425392150879
"86",2016-04-10,18.0870838165283,18.0990676879883,17.7814407348633,17.3955001831055
"87",2016-04-11,18.0395832061768,18.027717590332,17.7343883514404,17.359281539917
"88",2016-04-12,18.0216674804688,18.0293140411377,17.7061767578125,17.3179531097412
"89",2016-04-13,18.0754165649414,18.0699272155762,17.6560401916504,17.2770748138428
"90",2016-04-14,17.8983325958252,17.7571620941162,17.6119785308838,17.2303085327148
"91",2016-04-15,17.8562507629395,17.7750453948975,17.5607776641846,17.1752605438232
"92",2016-04-16,17.7837505340576,17.6727180480957,17.5141716003418,17.1299076080322
"93",2016-04-17,17.6749992370605,17.6914443969727,17.4599647521973,17.0811939239502
"94",2016-04-18,17.812084197998,17.7364654541016,17.3877239227295,17.0248260498047
"95",2016-04-19,18.0529174804688,17.9635143280029,17.3179206848145,16.9586200714111
"96",2016-04-20,18.030834197998,17.8394947052002,17.2806987762451,16.9196796417236
"97",2016-04-21,18.1779174804688,18.163236618042,17.2263889312744,16.8719081878662
"98",2016-04-22,18.0379161834717,18.0245685577393,17.1722412109375,16.834156036377
"99",2016-04-23,17.9237499237061,17.892427444458,17.1221828460693,16.7870578765869
"100",2016-04-24,17.8254165649414,17.8007068634033,17.073766708374,16.7416019439697
"101",2016-04-25,17.8341674804688,17.8060321807861,17.0238723754883,16.6984424591064
"102",2016-04-26,17.8454170227051,17.7454357147217,16.9780883789062,16.6469764709473
"103",2016-04-27,17.8037490844727,17.7248706817627,16.9340553283691,16.6106376647949
"104",2016-04-28,17.5778007507324,17.573299407959,16.8829402923584,16.5606842041016
"105",2016-04-29,17.4937496185303,17.4182872772217,16.8229713439941,16.5261459350586
"106",2016-04-30,17.4433326721191,17.4307918548584,16.7614345550537,16.4655590057373
"107",2016-05-01,17.4445838928223,NA,16.7043781280518,16.4056186676025
"108",2016-05-02,16.9854164123535,16.9381427764893,16.6514720916748,16.3452568054199
"109",2016-05-03,16.6504344940186,NA,16.5854644775391,16.288969039917
