"","TIME","TEMP","TEMP_INTERP","TEMP_HEAT_SPIKE","TEMP_COLD_SPIKE","TEMP_EXTREME_INDEX","TEMP_PER10","TEMP_PER50","TEMP_PER90","TEMP_MEAN","MHW_EVENT_NUMBER","MHW_EVENT_CAT","MCS_EVENT_NUMBER","MCS_EVENT_CAT","MHW_EVENT_DURATION","MHW_EVENT_ONSET_RATE","MHW_EVENT_DECLINE_RATE","MCS_EVENT_DURATION","MCS_EVENT_ONSET_RATE","MCS_EVENT_DECLINE_RATE","MHW_EVENT_INTENSITY_MEAN","MHW_EVENT_INTENSITY_MAX","MHW_EVENT_INTENSITY_VAR","MHW_EVENT_INTENSITY_CUMULATIVE","MHW_EVENT_INTENSITY_MEAN_RELPERC","MHW_EVENT_INTENSITY_MAX_RELPERC","MHW_EVENT_INTENSITY_VAR_RELPERC","MHW_EVENT_INTENSITY_CUMULATIVE_RELPERC","MCS_EVENT_INTENSITY_MEAN","MCS_EVENT_INTENSITY_MAX","MCS_EVENT_INTENSITY_VAR","MCS_EVENT_INTENSITY_CUMULATIVE","MCS_EVENT_INTENSITY_MEAN_RELPERC","MCS_EVENT_INTENSITY_MAX_RELPERC","MCS_EVENT_INTENSITY_VAR_RELPERC","MCS_EVENT_INTENSITY_CUMULATIVE_RELPERC"
"40",2013-03-07,NA,23.8288040161133,23.8288040161133,NA,12,18.6945503234863,20.7877658843994,22.6274574279785,20.743729019165,9,2,0,0,6,1.07799994945526,0.474000006914139,0,0,0,3.363,4.154,0.558,20.181,1.464,2.253,0.559,8.781,0,0,0,0,0,0,0,0
"41",2013-03-08,24.4944381713867,24.4944381713867,24.4944381713867,NA,12,18.7162517547607,20.8041816711426,22.6368072509766,20.7583915710449,9,2,0,0,6,1.07799994945526,0.474000006914139,0,0,0,3.363,4.154,0.558,20.181,1.464,2.253,0.559,8.781,0,0,0,0,0,0,0,0
"42",2013-03-29,23.7286014556885,23.7286014556885,23.7286014556885,NA,12,19.365970993042,21.126407623291,22.8642398834229,21.1036209106445,10,2,0,0,10,0.662999987602234,0.333999991416931,0,0,0,2.757,3.969,0.55,27.568,0.996,2.205,0.546,9.964,0,0,0,0,0,0,0,0
"43",2013-03-30,NA,23.8841590881348,23.8841590881348,NA,12,19.3811965942383,21.1345691680908,22.8793724060059,21.1160053253174,10,2,0,0,10,0.662999987602234,0.333999991416931,0,0,0,2.757,3.969,0.55,27.568,0.996,2.205,0.546,9.964,0,0,0,0,0,0,0,0
"44",2013-03-31,24.0397167205811,24.0397167205811,24.0397167205811,NA,12,19.3916316986084,21.1469425201416,22.8856872558594,21.1230609893799,10,2,0,0,10,0.662999987602234,0.333999991416931,0,0,0,2.757,3.969,0.55,27.568,0.996,2.205,0.546,9.964,0,0,0,0,0,0,0,0
"45",2013-04-01,25.1031150817871,25.1031150817871,25.1031150817871,NA,12,19.4066219329834,21.1581565856934,22.8976196289062,21.1343338012695,10,2,0,0,10,0.662999987602234,0.333999991416931,0,0,0,2.757,3.969,0.55,27.568,0.996,2.205,0.546,9.964,0,0,0,0,0,0,0,0
"46",2013-04-02,24.2602958679199,24.2602958679199,24.2602958679199,NA,12,19.4215858459473,21.1634643554688,22.9092514038086,21.141805267334,10,2,0,0,10,0.662999987602234,0.333999991416931,0,0,0,2.757,3.969,0.55,27.568,0.996,2.205,0.546,9.964,0,0,0,0,0,0,0,0
"47",2013-04-03,24.2123718261719,24.2123718261719,24.2123718261719,NA,12,19.4366703033447,21.1729698181152,22.9205371856689,21.1514392852783,10,2,0,0,10,0.662999987602234,0.333999991416931,0,0,0,2.757,3.969,0.55,27.568,0.996,2.205,0.546,9.964,0,0,0,0,0,0,0,0
"48",2013-04-04,23.3811016082764,23.3811016082764,23.3811016082764,NA,12,19.4514007568359,21.1760478973389,22.9272117614746,21.1604904174805,10,2,0,0,10,0.662999987602234,0.333999991416931,0,0,0,2.757,3.969,0.55,27.568,0.996,2.205,0.546,9.964,0,0,0,0,0,0,0,0
"49",2013-04-05,23.8894653320312,23.8894653320312,23.8894653320312,NA,12,19.4640674591064,21.1831829071045,22.9232009887695,21.1654842376709,10,2,0,0,10,0.662999987602234,0.333999991416931,0,0,0,2.757,3.969,0.55,27.568,0.996,2.205,0.546,9.964,0,0,0,0,0,0,0,0
"50",2013-04-06,NA,23.4606647491455,23.4606647491455,NA,12,19.4730564117432,21.1907825469971,22.9111221313477,21.1635501861572,10,2,0,0,10,0.662999987602234,0.333999991416931,0,0,0,2.757,3.969,0.55,27.568,0.996,2.205,0.546,9.964,0,0,0,0,0,0,0,0
"51",2013-04-07,23.0318641662598,23.0318641662598,23.0318641662598,NA,12,19.4820766448975,21.1937892913818,22.9094184875488,21.1638469696045,10,2,0,0,10,0.662999987602234,0.333999991416931,0,0,0,2.757,3.969,0.55,27.568,0.996,2.205,0.546,9.964,0,0,0,0,0,0,0,0
"52",2013-05-19,21.59423828125,21.59423828125,21.59423828125,NA,12,18.6423397064209,19.8616802215576,21.2981658935547,19.8985889434814,11,2,0,0,17,0.419999986886978,0.118000000715256,0,0,0,1.975,3.005,0.476,33.58,0.535,1.575,0.479,9.094,0,0,0,0,0,0,0,0
"53",2013-05-20,21.4745311737061,21.4745311737061,21.4745311737061,NA,12,18.596000289917,19.8210762023926,21.2637767791748,19.8535614013672,11,2,0,0,17,0.419999986886978,0.118000000715256,0,0,0,1.975,3.005,0.476,33.58,0.535,1.575,0.479,9.094,0,0,0,0,0,0,0,0
"54",2013-05-21,22.6563053131104,22.6563053131104,22.6563053131104,NA,12,18.5491912841797,19.7771598815918,21.2280082702637,19.8090801239014,11,2,0,0,17,0.419999986886978,0.118000000715256,0,0,0,1.975,3.005,0.476,33.58,0.535,1.575,0.479,9.094,0,0,0,0,0,0,0,0
"55",2013-05-22,22.7746086120605,22.7746086120605,22.7746086120605,NA,12,18.5026000976562,19.7305801391602,21.1993053436279,19.7699810028076,11,2,0,0,17,0.419999986886978,0.118000000715256,0,0,0,1.975,3.005,0.476,33.58,0.535,1.575,0.479,9.094,0,0,0,0,0,0,0,0
"56",2013-05-23,22.2866744995117,22.2866744995117,22.2866744995117,NA,12,18.4560001373291,19.685982131958,21.1629734039307,19.7275424957275,11,2,0,0,17,0.419999986886978,0.118000000715256,0,0,0,1.975,3.005,0.476,33.58,0.535,1.575,0.479,9.094,0,0,0,0,0,0,0,0
"57",2013-05-24,21.8878803253174,21.8878803253174,21.8878803253174,NA,12,18.4086410522461,19.6439903259277,21.1256134033203,19.6842517852783,11,2,0,0,17,0.419999986886978,0.118000000715256,0,0,0,1.975,3.005,0.476,33.58,0.535,1.575,0.479,9.094,0,0,0,0,0,0,0,0
"58",2013-05-25,20.9626636505127,20.9626636505127,NA,NA,12,18.3598915100098,19.603150177002,21.0878616333008,19.6397796630859,11,2,0,0,17,0.419999986886978,0.118000000715256,0,0,0,1.975,3.005,0.476,33.58,0.535,1.575,0.479,9.094,0,0,0,0,0,0,0,0
"59",2013-05-26,21.1013202667236,21.1013202667236,21.1013202667236,NA,12,18.3106395721436,19.5631149291992,21.0372737884521,19.5899028778076,11,2,0,0,17,0.419999986886978,0.118000000715256,0,0,0,1.975,3.005,0.476,33.58,0.535,1.575,0.479,9.094,0,0,0,0,0,0,0,0
"60",2013-05-27,21.7533493041992,21.7533493041992,21.7533493041992,NA,12,18.2587711334229,19.5231010437012,20.985383605957,19.5367992401123,11,2,0,0,17,0.419999986886978,0.118000000715256,0,0,0,1.975,3.005,0.476,33.58,0.535,1.575,0.479,9.094,0,0,0,0,0,0,0,0
"61",2013-05-28,21.7211017608643,21.7211017608643,21.7211017608643,NA,12,18.208126449585,19.4792541503906,20.9345630645752,19.4833675384521,11,2,0,0,17,0.419999986886978,0.118000000715256,0,0,0,1.975,3.005,0.476,33.58,0.535,1.575,0.479,9.094,0,0,0,0,0,0,0,0
"62",2013-05-29,NA,21.4542255401611,21.4542255401611,NA,12,18.1523082733154,19.4348808288574,20.8807758331299,19.4286636352539,11,2,0,0,17,0.419999986886978,0.118000000715256,0,0,0,1.975,3.005,0.476,33.58,0.535,1.575,0.479,9.094,0,0,0,0,0,0,0,0
"63",2013-05-30,21.187349319458,21.187349319458,21.187349319458,NA,12,18.098246383667,19.3892993927002,20.8322685241699,19.374967956543,11,2,0,0,17,0.419999986886978,0.118000000715256,0,0,0,1.975,3.005,0.476,33.58,0.535,1.575,0.479,9.094,0,0,0,0,0,0,0,0
"64",2013-05-31,21.2245655059814,21.2245655059814,21.2245655059814,NA,12,18.0438503265381,19.3410438537598,20.7803447723389,19.3215030670166,11,2,0,0,17,0.419999986886978,0.118000000715256,0,0,0,1.975,3.005,0.476,33.58,0.535,1.575,0.479,9.094,0,0,0,0,0,0,0,0
"65",2013-06-01,21.3336982727051,21.3336982727051,21.3336982727051,NA,12,17.9863285064697,19.2930660247803,20.7273746490479,19.2693073272705,11,2,0,0,17,0.419999986886978,0.118000000715256,0,0,0,1.975,3.005,0.476,33.58,0.535,1.575,0.479,9.094,0,0,0,0,0,0,0,0
"66",2013-06-02,20.7572555541992,20.7572555541992,20.7572555541992,NA,12,17.9272998809814,19.2455322265625,20.6609828948975,19.2092998504639,11,2,0,0,17,0.419999986886978,0.118000000715256,0,0,0,1.975,3.005,0.476,33.58,0.535,1.575,0.479,9.094,0,0,0,0,0,0,0,0
"67",2013-06-03,20.6326999664307,20.6326999664307,20.6326999664307,NA,12,17.8709819793701,19.1974468231201,20.5951305389404,19.1530620574951,11,2,0,0,17,0.419999986886978,0.118000000715256,0,0,0,1.975,3.005,0.476,33.58,0.535,1.575,0.479,9.094,0,0,0,0,0,0,0,0
"68",2013-06-04,20.619966506958,20.619966506958,20.619966506958,NA,12,17.817798614502,19.1410758972168,20.5288871765137,19.0930057525635,11,2,0,0,17,0.419999986886978,0.118000000715256,0,0,0,1.975,3.005,0.476,33.58,0.535,1.575,0.479,9.094,0,0,0,0,0,0,0,0
"69",2013-10-16,20.5075531005859,20.5075531005859,20.5075531005859,NA,12,16.1036502838135,17.4149089813232,19.0137588500977,17.5488502502441,14,2,0,0,8,2.95900011062622,0.26800000667572,0,0,0,2.277,2.959,0.441,18.214,0.832,1.494,0.434,6.656,0,0,0,0,0,0,0,0
"70",2013-10-17,20.3434619903564,20.3434619903564,20.3434619903564,NA,12,16.1303480148315,17.4448524475098,19.0262516021729,17.5724620819092,14,2,0,0,8,2.95900011062622,0.26800000667572,0,0,0,2.277,2.959,0.441,18.214,0.832,1.494,0.434,6.656,0,0,0,0,0,0,0,0
"71",2013-10-18,NA,20.2062873840332,20.2062873840332,NA,12,16.156311416626,17.4726348876953,19.0385032653809,17.5970653533936,14,2,0,0,8,2.95900011062622,0.26800000667572,0,0,0,2.277,2.959,0.441,18.214,0.832,1.494,0.434,6.656,0,0,0,0,0,0,0,0
"72",2013-10-19,20.0691108703613,20.0691108703613,20.0691108703613,NA,12,16.1815578460693,17.5028774261475,19.0616519927979,17.6220565795898,14,2,0,0,8,2.95900011062622,0.26800000667572,0,0,0,2.277,2.959,0.441,18.214,0.832,1.494,0.434,6.656,0,0,0,0,0,0,0,0
"73",2013-10-20,19.4640998840332,19.4640998840332,19.4640998840332,NA,12,16.2078542709351,17.5318397521973,19.0865200042725,17.6477142333984,14,2,0,0,8,2.95900011062622,0.26800000667572,0,0,0,2.277,2.959,0.441,18.214,0.832,1.494,0.434,6.656,0,0,0,0,0,0,0,0
"74",2013-10-21,NA,19.5164890289307,19.5164890289307,NA,12,16.2323661804199,17.5610725402832,19.1148239135742,17.6736915588379,14,2,0,0,8,2.95900011062622,0.26800000667572,0,0,0,2.277,2.959,0.441,18.214,0.832,1.494,0.434,6.656,0,0,0,0,0,0,0,0
